Model,Accuracy,Precision,Recall,F1-Score
RandomForest,0.9974387527839643,0.9955803675273319,0.9990662931839402,0.9973202842828848
NeuralNet (MLP),0.9909799554565701,0.988834612700628,0.992296918767507,0.9905627403005942
Logistic Regression,0.9889755011135858,0.9840388619014573,0.9929971988795518,0.9884977344022308
KNN,0.7184855233853007,0.9249757986447241,0.44607843137254904,0.6018897637795275
